Job Field,Job Title,Job Description,Key Responsibilities,Required Skills & Qualifications
Retail Banking,Bank Teller,Front-line customer service professional responsible for processing daily financial transactions and addressing basic customer inquiries.,"• Process deposits, withdrawals, and loan payments.<br>• Balance a cash drawer daily.<br>• Answer account inquiries and identify referral opportunities.","• High school diploma.<br>• Strong cash handling, accuracy, and customer service skills."
Retail Banking,Lead Teller,"A senior teller who processes transactions while also providing oversight, coaching, and vault management support to the teller line.",• Perform all teller duties.<br>• Manage and balance the bank vault.<br>• Coach junior tellers and handle escalated customer issues.,"• 2+ years of teller experience.<br>• Leadership potential, advanced problem-solving, and cash vault management skills."
Retail Banking,Personal Banker,A sales and service professional in a branch responsible for opening new accounts and selling bank products like loans and credit cards.,• Open new checking/savings accounts and CDs.<br>• Consult with customers to identify needs.<br>• Process consumer loan and credit card applications.<br>• Meet established sales and referral goals.,"• Bachelor's degree preferred.<br>• Strong sales, communication, and relationship-building skills."
Retail Banking,Relationship Banker,"A more advanced Personal Banker role focused on developing deeper, long-term relationships with a portfolio of branch clients.","• Proactively manage and grow a portfolio of consumer clients.<br>• Provide holistic financial advice.<br>• Cross-sell a full range of bank products (loans, investments, etc.).","• Bachelor's in Finance/Business.<br>• Proven sales record, financial acumen, and CRM skills."
Retail Banking,Small Business Banker,"A specialized banker, often located within a branch, who focuses exclusively on the needs of small business clients.","• Open new business checking accounts.<br>• Originate small business loans (e.g., SBA loans, lines of credit).<br>• Sell treasury/cash management services to small businesses.",• Bachelor's in Business/Finance.<br>• B2B sales skills and a strong understanding of business financial statements.
Retail Banking,Mortgage Loan Officer (MLO),"Guides clients through the mortgage application process, from pre-approval to closing, helping them secure financing for a home purchase.",• Advise clients on various mortgage products.<br>• Collect and verify all required financial documents.<br>• Manage a pipeline of loan applications.<br>• Liaise with underwriters and processors.,"• Bachelor's degree.<br>• Must hold an NMLS license.<br>• Strong sales, organization, and communication skills."
Retail Banking,Assistant Branch Manager,"Supports the Branch Manager in all operational and sales functions, acting as the manager-on-duty in their absence.",• Supervise the teller line and personal banking team.<br>• Handle complex operational duties and audit procedures.<br>• Coach staff to meet sales goals.<br>• Resolve escalated customer complaints.,"• 3-5+ years of banking experience.<br>• Proven leadership, sales coaching, and operational skills."
Retail Banking,Branch Manager,"Leads a single bank branch, accountable for its overall profitability, operational integrity, sales performance, and team development.","• Manage all branch staff (hiring, training, scheduling).<br>• Develop and execute sales strategies to meet branch goals.<br>• Ensure compliance with all banking regulations and security protocols.<br>• Represent the bank in the local community.","• Bachelor's degree.<br>• 5+ years of banking management.<br>• Strong leadership, sales management, and financial acumen."
Retail Banking,Regional Manager,"A senior leader responsible for the performance and operations of an entire geographic region, managing multiple Branch Managers.",• Manage the P&L for a defined region.<br>• Set regional sales and performance targets.<br>• Coach and develop a team of Branch Managers.<br>• Ensure operational consistency and compliance across all branches.,• Bachelor's/MBA.<br>• 7-10+ years of senior retail bank management experience.
Wealth Management,Client Service Associate,"The primary administrative support role for a team of Financial Advisors, handling all client service and operational tasks.","• Handle client requests (e.g., money movement, paperwork).<br>• Open new investment accounts and prepare client review materials.<br>• Assist Financial Advisors with scheduling and administration.",• Bachelor's degree.<br>• Exceptional organization and client service skills.<br>• (Often requires Series 7/66 licenses).
